Original
Iter:     8 | Cost: 0.4330816 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:     9 | Cost: 0.3975601 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    10 | Cost: 0.3857013 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    11 | Cost: 0.3605540 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    12 | Cost: 0.3431289 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    13 | Cost: 0.3326933 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    14 | Cost: 0.3179334 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    15 | Cost: 0.3084892 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    16 | Cost: 0.2974688 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    17 | Cost: 0.3027584 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    18 | Cost: 0.2918263 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    19 | Cost: 0.2842804 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    20 | Cost: 0.2825287 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    21 | Cost: 0.2698211 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    22 | Cost: 0.2780852 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    23 | Cost: 0.2718138 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    24 | Cost: 0.2867402 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    25 | Cost: 0.2819964 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    26 | Cost: 0.2629529 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    27 | Cost: 0.2534730 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    28 | Cost: 0.2350600 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    29 | Cost: 0.2447909 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    30 | Cost: 0.2559830 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    31 | Cost: 0.2697666 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    32 | Cost: 0.2660927 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    33 | Cost: 0.2397615 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    34 | Cost: 0.2492969 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    35 | Cost: 0.2435209 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    36 | Cost: 0.2373491 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    37 | Cost: 0.2235691 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    38 | Cost: 0.2012825 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    39 | Cost: 0.2154982 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    40 | Cost: 0.2161948 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    41 | Cost: 0.2048090 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    42 | Cost: 0.2084496 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    43 | Cost: 0.1899314 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    44 | Cost: 0.1818356 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    45 | Cost: 0.1811146 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    46 | Cost: 0.1687310 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    47 | Cost: 0.1547694 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    48 | Cost: 0.1412289 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    49 | Cost: 0.1366548 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    50 | Cost: 0.1275852 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    51 | Cost: 0.1202704 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    52 | Cost: 0.1150118 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    53 | Cost: 0.1096509 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    54 | Cost: 0.1283701 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    55 | Cost: 0.1183634 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    56 | Cost: 0.1125454 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    57 | Cost: 0.1240569 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    58 | Cost: 0.1370681 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    59 | Cost: 0.1235057 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    60 | Cost: 0.1131537 | Acc train: 1.0000000 | Acc validation: 1.0000000 
922.580732345581
